date,datetime,route_name,distance_m,duration_sec,duration_min,avg_speed_kmh,hour,day_of_week,month,year,is_weekend
2024-08-01,2024-08-01 00:00:00,12_mkr-TSUM,8450,936.63,15.61,32.48,0,3,8,2024,False
2024-08-01,2024-08-01 00:00:00,Ala_Too_Sq-Asanbai,7956,787.66,13.13,36.36,0,3,8,2024,False
2024-08-01,2024-08-01 00:00:00,Ak_Orgo-Hyatt_Regency,13119,1853.1,30.88,25.49,0,3,8,2024,False
2024-08-01,2024-08-01 00:00:00,PVT-Globus,9234,901.86,15.03,36.86,0,3,8,2024,False
2024-08-01,2024-08-01 00:00:00,Yuzhnye_Vorota-Dordoi,12761,1516.77,25.28,30.29,0,3,8,2024,False
2024-08-01,2024-08-01 00:00:00,Dzhal-Osh_Bazar,6848,699.19,11.65,35.26,0,3,8,2024,False
2024-08-01,2024-08-01 00:00:00,Dordoi-Togolok_Moldo,11543,1526.89,25.45,27.22,0,3,8,2024,False
2024-08-01,2024-08-01 00:00:00,Tunguch-Philharmonia,10660,1003.68,16.73,38.24,0,3,8,2024,False
2024-08-01,2024-08-01 00:00:00,Vefa-Ortosay,8912,909.23,15.15,35.29,0,3,8,2024,False
2024-08-01,2024-08-01 02:00:00,12_mkr-TSUM,8450,908.94,15.15,33.47,2,3,8,2024,False
2024-08-01,2024-08-01 02:00:00,Ala_Too_Sq-Asanbai,7956,881.94,14.7,32.48,2,3,8,2024,False
2024-08-01,2024-08-01 02:00:00,Ak_Orgo-Hyatt_Regency,13119,1699.94,28.33,27.78,2,3,8,2024,False
2024-08-01,2024-08-01 02:00:00,Cosmopark-Vostok_5,6463,583.4,9.72,39.88,2,3,8,2024,False
2024-08-01,2024-08-01 02:00:00,Yuzhnye_Vorota-Dordoi,12761,1757.5,29.29,26.14,2,3,8,2024,False
2024-08-01,2024-08-01 02:00:00,Dzhal-Osh_Bazar,6848,763.95,12.73,32.27,2,3,8,2024,False
2024-08-01,2024-08-01 02:00:00,Dordoi-Togolok_Moldo,11543,1400.35,23.34,29.67,2,3,8,2024,False
2024-08-01,2024-08-01 02:00:00,Tunguch-Philharmonia,10660,1104.31,18.41,34.75,2,3,8,2024,False
2024-08-01,2024-08-01 02:00:00,Vefa-Ortosay,8912,996.71,16.61,32.19,2,3,8,2024,False
2024-08-01,2024-08-01 04:00:00,12_mkr-TSUM,8450,793.01,13.22,38.36,4,3,8,2024,False
2024-08-01,2024-08-01 04:00:00,Ala_Too_Sq-Asanbai,7956,732.86,12.21,39.08,4,3,8,2024,False
2024-08-01,2024-08-01 04:00:00,Ak_Orgo-Hyatt_Regency,13119,1690.91,28.18,27.93,4,3,8,2024,False
2024-08-01,2024-08-01 04:00:00,Cosmopark-Vostok_5,6463,517.04,8.62,45.0,4,3,8,2024,False
2024-08-01,2024-08-01 04:00:00,PVT-Globus,9234,958.12,15.97,34.7,4,3,8,2024,False
2024-08-01,2024-08-01 04:00:00,Yuzhnye_Vorota-Dordoi,12761,1521.77,25.36,30.19,4,3,8,2024,False
2024-08-01,2024-08-01 04:00:00,Dzhal-Osh_Bazar,6848,765.49,12.76,32.21,4,3,8,2024,False
2024-08-01,2024-08-01 04:00:00,Dordoi-Togolok_Moldo,11543,1432.36,23.87,29.01,4,3,8,2024,False
2024-08-01,2024-08-01 04:00:00,Tunguch-Philharmonia,10660,1076.95,17.95,35.63,4,3,8,2024,False
2024-08-01,2024-08-01 04:00:00,Vefa-Ortosay,8912,808.21,13.47,39.7,4,3,8,2024,False
2024-08-01,2024-08-01 08:00:00,12_mkr-TSUM,8450,1936.88,32.28,15.71,8,3,8,2024,False
2024-08-01,2024-08-01 08:00:00,Ala_Too_Sq-Asanbai,7956,1594.58,26.58,17.96,8,3,8,2024,False
2024-08-01,2024-08-01 08:00:00,Cosmopark-Vostok_5,6463,1091.86,18.2,21.31,8,3,8,2024,False
