date,datetime,route_name,distance_m,duration_sec,duration_min,avg_speed_kmh,hour,day_of_week,month,year,is_weekend
2025-01-08,2025-01-08 00:00:00,12_mkr-TSUM,8450,961.74,16.03,31.63,0,2,1,2025,False
2025-01-08,2025-01-08 00:00:00,Ala_Too_Sq-Asanbai,7956,872.58,14.54,32.82,0,2,1,2025,False
2025-01-08,2025-01-08 00:00:00,Ak_Orgo-Hyatt_Regency,13119,2040.51,34.01,23.15,0,2,1,2025,False
2025-01-08,2025-01-08 00:00:00,Cosmopark-Vostok_5,6463,672.45,11.21,34.6,0,2,1,2025,False
2025-01-08,2025-01-08 00:00:00,PVT-Globus,9234,1074.1,17.9,30.95,0,2,1,2025,False
2025-01-08,2025-01-08 00:00:00,Yuzhnye_Vorota-Dordoi,12761,2130.9,35.52,21.56,0,2,1,2025,False
2025-01-08,2025-01-08 00:00:00,Dzhal-Osh_Bazar,6848,905.8,15.1,27.22,0,2,1,2025,False
2025-01-08,2025-01-08 00:00:00,Dordoi-Togolok_Moldo,11543,1961.94,32.7,21.18,0,2,1,2025,False
2025-01-08,2025-01-08 00:00:00,Tunguch-Philharmonia,10660,1420.59,23.68,27.01,0,2,1,2025,False
2025-01-08,2025-01-08 00:00:00,Vefa-Ortosay,8912,1083.23,18.05,29.62,0,2,1,2025,False
2025-01-08,2025-01-08 02:00:00,12_mkr-TSUM,8450,955.77,15.93,31.83,2,2,1,2025,False
2025-01-08,2025-01-08 02:00:00,Ala_Too_Sq-Asanbai,7956,1087.84,18.13,26.33,2,2,1,2025,False
2025-01-08,2025-01-08 02:00:00,Ak_Orgo-Hyatt_Regency,13119,2058.89,34.31,22.94,2,2,1,2025,False
2025-01-08,2025-01-08 02:00:00,Cosmopark-Vostok_5,6463,635.46,10.59,36.61,2,2,1,2025,False
2025-01-08,2025-01-08 02:00:00,PVT-Globus,9234,1259.63,20.99,26.39,2,2,1,2025,False
2025-01-08,2025-01-08 02:00:00,Yuzhnye_Vorota-Dordoi,12761,2179.03,36.32,21.08,2,2,1,2025,False
2025-01-08,2025-01-08 02:00:00,Dzhal-Osh_Bazar,6848,835.84,13.93,29.49,2,2,1,2025,False
2025-01-08,2025-01-08 02:00:00,Tunguch-Philharmonia,10660,1354.74,22.58,28.33,2,2,1,2025,False
2025-01-08,2025-01-08 02:00:00,Vefa-Ortosay,8912,1007.86,16.8,31.83,2,2,1,2025,False
2025-01-08,2025-01-08 04:00:00,12_mkr-TSUM,8450,954.23,15.9,31.88,4,2,1,2025,False
2025-01-08,2025-01-08 04:00:00,Ala_Too_Sq-Asanbai,7956,1065.04,17.75,26.89,4,2,1,2025,False
2025-01-08,2025-01-08 04:00:00,Ak_Orgo-Hyatt_Regency,13119,1962.63,32.71,24.06,4,2,1,2025,False
2025-01-08,2025-01-08 04:00:00,Cosmopark-Vostok_5,6463,640.25,10.67,36.34,4,2,1,2025,False
2025-01-08,2025-01-08 04:00:00,Yuzhnye_Vorota-Dordoi,12761,1943.44,32.39,23.64,4,2,1,2025,False
2025-01-08,2025-01-08 04:00:00,Dzhal-Osh_Bazar,6848,775.72,12.93,31.78,4,2,1,2025,False
2025-01-08,2025-01-08 04:00:00,Dordoi-Togolok_Moldo,11543,1826.33,30.44,22.75,4,2,1,2025,False
2025-01-08,2025-01-08 04:00:00,Tunguch-Philharmonia,10660,1322.25,22.04,29.02,4,2,1,2025,False
2025-01-08,2025-01-08 04:00:00,Vefa-Ortosay,8912,1174.75,19.58,27.31,4,2,1,2025,False
2025-01-08,2025-01-08 06:00:00,12_mkr-TSUM,8450,916.9,15.28,33.18,6,2,1,2025,False
2025-01-08,2025-01-08 06:00:00,Ala_Too_Sq-Asanbai,7956,928.65,15.48,30.84,6,2,1,2025,False
